source,location,lat,long
"Marret et al., 2020",Z502,78.1,133.51
"Marret et al., 2020",S-Y8,34.9,127.69
"Marret et al., 2020",Z501,78.17,133.4
"Marret et al., 2020",S-Y9,34.89,127.67
"Marret et al., 2020",Z500,78.48,133
"Marret et al., 2020",S-Y10,34.88,127.68
"Marret et al., 2020",Z499,79.65,130.54
"Marret et al., 2020",A2171,70.1269,-17.6632
"Marret et al., 2020",X1723,28.083,-89.4892
"Marret et al., 2020",S-Y11,34.89,127.62
"Marret et al., 2020",Z498,76.51,133.35
"Marret et al., 2020",S-Y12,34.86,127.62
"Marret et al., 2020",Z497,77.89,101.59
"Marret et al., 2020",S-Y13,34.86,127.65
"Marret et al., 2020",Z496,77.71,102.29
"Marret et al., 2020",S-Y14,34.85,127.67
"Marret et al., 2020",Z495,78.03,102.31
"Marret et al., 2020",S-Y15,34.87,127.74
"Marret et al., 2020",Z494,75.5,115.54
"Marret et al., 2020",S-Y16,34.86,127.79
"Marret et al., 2020",Z493,74.5,114.28
"Marret et al., 2020",S-Y17,34.89,127.81
"Marret et al., 2020",Z492,74.5,119.83
"Marret et al., 2020",S-Y18,34.91,127.84
"Marret et al., 2020",Z483,75.49,115.25
"Marret et al., 2020",S-Y19,34.92,127.83
"Marret et al., 2020",Z482,76.84,137.29
"Marret et al., 2020",S-Y20,34.94,127.85
"Marret et al., 2020",Z480,77.11,137.23
"Marret et al., 2020",A2172,70.8225,-17.0798
"Marret et al., 2020",X1721,27.6375,-92.1995
"Marret et al., 2020",Taou-E39,14.82,-93.69
"Marret et al., 2020",Z477,75.34,135.17
"Marret et al., 2020",Taou-E20,16,-94.6
"Marret et al., 2020",Z474,75.42,125.84
"Marret et al., 2020",Taou-E32,15.02,-93.34
"Marret et al., 2020",Z473,75.48,123.84
"Marret et al., 2020",Taou-E35,15.1,-93.09
"Marret et al., 2020",Z472,75.47,119.96
"Marret et al., 2020",GeoB 9501,16.84,-16.733
"Marret et al., 2020",Z471,75,114.53
"Marret et al., 2020",GeoB 9502,16.282,-16.67
"Marret et al., 2020",Z470,75.02,119.89
"Marret et al., 2020",GeoB 9503,16.067,-16.651
"Marret et al., 2020",Z467,75.01,136.03
"Marret et al., 2020",GeoB 9504,15.877,-16.675
"Marret et al., 2020",Z466,74.48,137.04
"Marret et al., 2020",GeoB 9505,15.683,-16.732
"Marret et al., 2020",Z462,74.49,119.96
"Marret et al., 2020",GeoB 9506,15.608,-18.35
"Marret et al., 2020",Z459,74.01,137.66
"Marret et al., 2020",A2173,73.138,-15.6746
"Marret et al., 2020",L1720,56.4,-61.22
"Marret et al., 2020",GeoB 9508,15.499,-17.947
"Marret et al., 2020",Z439,70.01,-138.59
"Marret et al., 2020",GeoB 9510,15.417,-17.654
"Marret et al., 2020",Z438,70.97,-134.69
"Marret et al., 2020",GeoB 9512,15.337,-17.366
"Marret et al., 2020",Z436,70.15,-133.43
"Marret et al., 2020",GeoB 9513,15.318,-17.295
"Marret et al., 2020",Z435,73.19,-126.46
"Marret et al., 2020",GeoB 9515,15.273,-17.045
"Marret et al., 2020",Z432,73.45,-166.25
"Marret et al., 2020",A428,43.38,-67.76
"Marret et al., 2020",GeoB 9516,13.674,-18.419
"Marret et al., 2020",A427,42.94,-67.36
"Marret et al., 2020",GeoB 9517,13.718,-18.189
"Marret et al., 2020",A426,42.01,-68.19
"Marret et al., 2020",GeoB 9518,13.793,-17.79
"Marret et al., 2020",A425,42.48,-68.46
"Marret et al., 2020",GeoB 9519,13.812,-17.683
"Marret et al., 2020",A424,42.47,-67.11
"Marret et al., 2020",GeoB 9520,13.829,-17.591
"Marret et al., 2020",A2174,73.1875,-16.5209
"Marret et al., 2020",L1719,56.42,-61.74
"Marret et al., 2020",A423,42.82,-69.96
